author,text,published_at,like_count
@habibiealexandria2433,Terlalu banyak yang mengutip Al - Kafiruun ayat 01 - 06 tapi menolak Al - An'am Ayat 108. Ironis sekali saat kita semua hanya mengutip kitab suci demi penglorifikasian Ego kita... 🙃,2025-08-26T18:16:16Z,0
@Shaf_001,"Guru gembul nih baiknya gak ngomong semua hal, krn gak ada orang yang ahli dalam segala bidang.. terutama lu gak perlu ngomongin soal agama, soal siroh, lu banyak ngeluarin statement agama Islam dan siroh yg ngawur. Semua omngan lu tuh bakal dipertanggung jawabkan kelak di akhert. Ideologi lu kayanya lebih ke Liberal..",2025-08-23T12:06:08Z,0
@Pakde_e,Katanya muslim tapi menormalisasikan pacaran 😂,2025-08-18T09:15:02Z,0
@DanellKill,"oten lu playing victim terus,padahal lu ada agenda pemurtadan internasional di jabar dan sumbar,oten aneh aneh😂😂😂😂😂😂😂",2025-08-17T07:50:34Z,0
@kainsongket716,Ini gembul sok tau 😂....,2025-08-16T17:24:05Z,0
@GalvinZayyan,UAS dibelakang cuma cengir2 ga ada dia nongol 😂,2025-08-16T11:14:37Z,0
@nofrizalnofrizal188,pak guru gembul saya mau nanya apa dalam agama dianjurkan ntuk membuat tempat ibadah tuhan kan maha tau dimana pun kita beribadah tuhan kan tau ngk harus dibuat kan tempat nya  biar ngk ada lagi pelarangan ngk ada lagi penyerangan biar aman cukup ibadah dirumah saja tuhan kan maha tau,2025-08-13T07:57:35Z,0
@andyanto5609,Walau harus mati saya tak akan pernah meninggal kan iman saya.,2025-08-11T13:24:07Z,0
@WayanMerta-y6b,"Pantesan mereka dibuliterus sama bang Edis, tp maaf sy TDK ikutcampur,",2025-08-11T07:49:59Z,0
@WayanMerta-y6b,"Gurugembul baru org nyacerdas, sy salut SM bliau,",2025-08-11T07:45:42Z,0
@WayanMerta-y6b,Inilah ketimpangan hukum dinegaraini,2025-08-11T07:42:06Z,0
@folio541,"Gak usah panjang berpolemik. Bagi saja NKRI ini jadi dua. Kami, umat non muslim juga tidak pernah merasakan manfaat dr kehadiran muslim, kecuali tukang resek, jago rusuh.",2025-08-11T07:08:53Z,0
@helenamangindaan6909,"Iya karakter Iblis, mrk  merasa sok paling berkuasa sewenang2 seenak.nya, serasa pemilik dunia !! - pd jago intimidasi, bebas menghujat2, dikit2 ancam mnghina, persekusi, makar, merasa legal banget, otak pd rusak n 
naluri manusiawi nya tumpul - 
Ats dasar apa mrk bisa bgtu dg leluasa ??  Bkn kah  smua itu & slm ini telah menginjak2 Hukum negara bangsa RI, dan
Tdk ada rasa takut hormat kpd Tuhan -",2025-08-10T20:10:26Z,0
@okijem,"Telat dikit.
Ingin berbagi pendapat saja. Harap dibaca dengan pikiran terbuka. Kalau ada yang tersinggung, mungkin justru di situlah poinnya.

Disclaimer: Saya tidak menganggap diri saya paham sepenuhnya akan ajaran agama. Bahkan saya masih berusaha keras untuk memahami dan mengamalkan ajaran kebaikan agama yang saya anut, meski sering lalai. Perlu diingat, ini hanya argumen saya sebagai pelaku dan juga pengamat. Kalau ada yang merasa “termasak” atau “strike”, kemungkinan besar orang tersebut belum benar-benar memahami apa yang saya sampaikan.

Indonesia sering disebut negara paling religius karena sila pertama mengharuskan kita percaya kepada Tuhan. Tapi jujur aja, menurut saya, banyak (entah 50% atau 60% lebih) pemeluk agama di sini cuma paham kulitnya saja.

 *Kebanyakan hanya takut dosa, bukan benar-benar takut atau menghormati Tuhan serta memahami ajarannya.*

Banyak ritual atau ibadah, entah puasa sampai perjamuan kudus, dan lainnya  yang dilakukan sekadar FORMALITAS. Coba jujur: saat berpuasa, bener-bener ngerti maknanya atau cuma ikut tradisi? Saat perjamuan kudus, paham betul tujuannya atau cuma karena “memang rutinitas di gereja”?

Nah, ada hal yang bikin saya penasaran dan mungkin bisa kita renungkan bersama:
1. Kenapa ada orang yang membela agamanya sampai rela merendahkan atau melarang ibadah orang lain? Apakah benar agamanya mengajarkan itu, atau hanya emosi pribadi?
2. Kenapa sebagian orang bisa berani melakukan hal-hal yang jelas dilarang seperti zina, mencuri, mabuk, bahkan korupsi, tapi untuk makan makanan tertentu seperti babi malah super takut? Apakah ada tingkatan “dosa” yang dianggap bisa diampuni dan yang tidak?",2025-08-10T12:22:42Z,0
@misterasam,HMMMMMMMMMMMMMMMMMM tidak terpikirkan seperti ini #ploittwist,2025-08-10T07:28:23Z,0
@HendraSaputra_9899,Islam jg asal nya dr arab ua kearab aja bos........yg msh ngomong ga enak artinya manusia munafik dan tinggal di hutan dan ga ngerti klo hidup tu berbeda bkn 1......termsk saudara ja beda ..... jg ga prnh ada perbedaan keyakinan dlm.keluarga jd bisa ngomong .......artinya klo kau indonesia dan manusia terima perbedaan......UUD 45 dan NKRI,2025-08-10T03:54:58Z,0
@siwajava3732,Iya harusnya seperti runtuhnya gedung WTC😄😄😄😄,2025-08-09T16:56:12Z,0
@sabda.saratustra,Agama tanpa SDM dan EDM jadinya Blind Faith !!!,2025-08-09T13:52:53Z,0
@MikeSteven-wq4ub,AGAMA TERORIS BERTOPENG GUNDOROWO😂,2025-08-09T13:06:30Z,1
@ireneussubir5644,Sudah saatnya Indonesia dibagi 2 wilayah,2025-08-09T07:56:13Z,0
@lying.in.the.gutter,Scenario yg menarik,2025-08-09T07:13:51Z,0
@Marizza-l7g,Sembunyi dimanapun akan tertangkap juga pd akhirnya si biang kerok ... entah itu kapan ? Tuhan tak tinggal diam ....,2025-08-09T04:00:52Z,0
@XiangLangMei1993,Sila pancasila gak ada harganya,2025-08-09T03:30:40Z,0
@akiranaura6146,Kenapa sih indonesia gak bikin agama sendiri untuk mempertahankan negara sendiri gitu. Daripada harus ngikutin timteng 😢,2025-08-09T01:48:06Z,0
@elisabethirawati9745,"Coba ada 10 kayak pak guru gembul .......intoleransi di Indonesia.....terkikis...
Lanjutkan pak guru...kalian tdk perlu malu mengkritik  diri sendiri....menampar diri sendiri dalam mensikapi saudara2 yg berbeda keyakinan👍👍",2025-08-09T00:42:56Z,0
@murniatysimbolon,"Jk mrk melakukan spt yg GurGem sarankan, membakar mesjid, apa yakin Kristen yg disalahkan ? Bodoh tuh jgn dipelihara donk ?!",2025-08-08T07:19:13Z,0
@diartri8897,"Bubarkan aja mui, udah terpapar paham radikal",2025-08-08T04:57:55Z,0
@diartri8897,"Agama islam adalah agama yg tidak bisa melihat agama lain, mereka ingin beragama sendiri, ingin memborong surga sendiri, karna mereka yg paling punya surga😂😂😂",2025-08-08T04:46:41Z,0
@zulkyotto,"tolong pemerintah indo, bidang kementerian informasi. me life kan pengajaran seperti ini di sekolah sekolah. mulai dari tingkat SMP sampai perguruan tinggi. jadi pelajaran utama.
tujuannya biar pikiran generasi sekarang tidak terperangkap lagi atau keluar dari pemikiran model model lama. rantai pemikiran yang lama, sudah waktunya diputus dengan rantai pemikiran yg baru. seperti rantai motor  jika diganti yg baru, rodanya jadi berputar stabil, 

pengetahuan harus > dari ilmu 

ber ilmu tapi tidak berpengetahuan sama saja = 0

I = P =   100
P>I  =  +100
P<I =   -100",2025-08-08T01:43:20Z,0
@OmpongbanBan-k7p,Pak.gembul.sy.umat.krsten.semoga.pak.gembul.diberi.kesehan.amin,2025-08-07T12:32:18Z,0
@SadiKurniawan-k9b,"Selesahi perang1945 ada agama lima , jadi indonesia milik  agama 5  islam katolik kristen budah dan hindu ,  tidak boleh menjelekkan agama orang lain  , supaya terbina kerukunan berbangsa  dan bernegara .",2025-08-07T02:36:09Z,0
@theresiameilani2669,Betul 2,2025-08-07T00:41:19Z,0
@kishorkumar-xm4du,"Buat apa punya ASAS NEGARA PANCASILA, DENGAN ASAS """"""PERTAMA""""👉 KETUHANAN YANG MAHA ESA.
Kalau pemerintah dalam Hal ini Menteri Agama, POLRI, Menteri Menkumhan tidak mampu melaksanakan Amanah UUD nya dan tidak memproses Hukum sesuai KUHP bagi Tindakan2 KRIMINAL /KRIMINAL TERENCANA orang2/Kelompok INTOLERAN terhadap AGAMA/KEPERCAYAAN di Indonesia yang terjadi tiada habis nya KHUSUS NYA TERHADAP UMAT KRISTIAN I INDONESIA.
APA TIDAK PUNYA RASA MALU /HARGA DIRI LAGI KAH SEMUA KALANGAN INI ?
JAMAN DIGITAL,  TAPI KELAKUAN NYA BIADAB, dan dilakukan Oleh orang2 yang KATANYA juga punya Agama,Allah dan Kitab Suci.
Negara Hadir Ga ? Hukum tegas Ga ?Bukankah Negara Republik Indonesia adalah NEGARA HUKUM ?
KOK NEGARA DIAM KETIKA SILA PERTAMA.....DI INJAK INJAK oknum2 biadab tersebut?",2025-08-06T11:16:20Z,0
@AgusRustiani-uh2wg,"sedikit cerita pak guru, Saya dulu sekolah dri SMP sampe SMK oknum ustadznya sama, alergi banget sama kristen, setiap kultum hari sabtu selalu nyindir nyindir guru kristen kadang juga nebar kebencian, pdhal guru itu  ya ga nyebarin agamanya, biasa aja ngajar  sesuai kompetensinya ga pernah sekata pun bahas agama kristen. pdhal ya seharusnya sekolah negeri yg menjunjung toleransi malah melihara ustadz radikal, sekolah saya di Cianjur",2025-08-06T10:38:14Z,0
@ddzq-s1h,Muslim yang pikiran nya sehat pasti akan merasa malu oleh kelakuan mereka.🤦,2025-08-06T09:01:24Z,0
@GidionGiyanto,Makasih bang gembul..memang negara ini ya seperti ini...,2025-08-06T05:37:14Z,0
@Anisa_Adinda,provokator si ternak mulyono versi guru.,2025-08-06T01:42:25Z,0
@SintoBria,"IZIN PEMBANGUNAN GEREJA DI TOLAK,PENGRUSAKAN RUMAH IBADAH,ORANG IBADAH DI PERSEKUSI,DI GERUDUK,JADI ISLAM ADALAH HAMA MASYARAKAT PELAKU INTOLERAN,,,,SAYA YAKIN SEMUA KEKACAUAN INI DI BEKINGI OLEH HTI DAN FPI SAN TUJUAN MEREKA INGIN MENGUBAH NEGARA INDONESIA MENJADI NEGARA SYARI'AH ISLAM.TERMASUK KE INGINAN MEREKA UNTUK JADIKAN ANIS BASWEDAN PRESIDEN TAPI LANGKAH ITU GAGAL MAKA PIKIRAN BUSUK MEREKA MULAI UBAH SASARAN KE PAK JOKOWI....",2025-08-06T00:58:37Z,0
@victorianusindriyabargawa6638,Prilaku ORMAS INTOLERAN selama ini karena DOKTRIN dari politikus² busuk yg ingin membuat NKRI memberlakukan SYARIAT ISLAM.,2025-08-05T17:10:49Z,0
@abbeybutar790,Guru Gembul selalu menjelaskan sesuai fakta.......,2025-08-05T11:01:09Z,0
@nonosumedi7015,"Mari kita buktikan dlm beragama sbgmana di amanahkan adanya Toleransi & Kerukunan Beragama, kita harus bisa menjaga keluhuran ajaran  dlm bermasyarakat, menjaga nama baik agama masing² dng saling menghargai adanya perbedaan & MARI KITA MENCARI KEBAIKAN dlm Agama, semua pasti akan legowo (jangan cari² masalah  Agama orang lain) kita semua pasti bisa Hidup Damai & Tenang Beribadah di Negara Sendiri (NKRI) Amiiin. 👍❤️🇲🇨",2025-08-05T10:42:46Z,1
@Widyatno,Biadap pelaku hrs dipidana berat.,2025-08-05T09:04:24Z,0
@TyoHya,Sulit ditemui org muslim seperti abang /abah ini selain alm.Gus Dur dan Abah Alwi Shihab ayahnya Mbak Najwa❤,2025-08-05T08:40:33Z,0
@TyoHya,Mantap komentarnya abang Ustad. Bagi sy  peibadi baru dgr dan baru alami ada seorg Muslim yg dgn rendah hati n bijaksana seperti abang imo utk komentar n krotik sesama kaum muslim yg beraalah dan jg lembaga /otoritas muslim yg tampak apatis dgn masalah intoleransi oknum muslim trhdp umat agama lain❤,2025-08-05T08:37:55Z,0
@TyoHya,Mantap.trimaksh pak Ustad yg sdh berani menjelaskan gambaran motif sesungguhnya dari peristiwa intoleransi yg trjadi di sukabumi itu biar ada keseimbangan rasa keadilan  demi toleransi,2025-08-05T08:25:27Z,0
@SaulMadista-e3i,"Ya Betul itu pak mereka itu SDM nya Sangat Rendah dn TDK d didik dgn Baik dn Benar ,BerNurani dn Org Seperti itu yg TDK Pernah Menanyakan Pada Dirinya Sendiri ( Coba Cubit dulu Tubuh Mu jika SAKIT jgn LAKUKAN UNTUK ORG LAIN. BRAVO GURU GEMBUL 👍👍👍, ORG SEPERTI BPK ONILH YG Di PERLUKN SM NKRI.",2025-08-05T04:16:36Z,0
@EddyYhuwantoSoehoto,"TANDA2PENGUNDURAN UMAT ISLAM KALAU SELALU BIKIN PENGRUSAKAN GEREJA
BISA JDI KATIR BISA KEYAKINAN BISA PINDAH AGAMA",2025-08-05T03:53:56Z,0
@robbys4869,ada 2 hal yang harus dihapus di  indonesia jika ingin indonesia bisa maju,2025-08-05T02:50:02Z,0
@Musafir-sq9om,Kacau,2025-08-05T00:29:28Z,0
@GideonSialagan,Sedikit kurang pas..bukan agama kristen & khatolik...sama2 Kristen tapi terbagi 2..KRISTEN PROTESTAN & KRISTEN KHATOLIK,2025-08-05T00:11:47Z,0
@darag3655,"🤣🤣🤣🤣🤣🤣🤣
Statemen yang sangat lucu....
Kalau memang Islam seperti itu....
Harusnya selain Islam sudah punah dari Konoha...
Akal dipake lah.....",2025-08-04T20:26:42Z,0
@TheJack_al,"PRIMITIF dong kalau begitu, ga bisa menerima perbedaan. 
Musti satu warna, satu ideologi dan satu wajah...??? 
Jadi ingat peristiwa 1965.",2025-08-04T19:28:59Z,0
@thomasintakarinta3743,"Saya setuju KDM tidak kasih uang pribadi, tp dr propinsi",2025-08-04T13:44:48Z,0
@PungkiSaputro-j2f6f,Mbok ga usah pake kata2nya si pesulap merah dong!,2025-08-04T13:23:27Z,0
@calonpengamat,Indonesia belum merdeka selama masih mudahnya terjadi konflik domestik terutama terkait SARA.,2025-08-04T09:18:53Z,0
@TambaSaragih-y7u,"Yg jelas, ketua,RT nya pasti tau siapa profokatornya,...!! Enak aja kau, minta Damai, . ..!!Biadab kamu ,...para pelsku.,....!!!",2025-08-04T04:45:07Z,0
@StevanusRizal-ht3bc,Maaf gw kristen gw sangat kagum SM beliau ini.ini lah mencerminkan bahwa beliau BNR BNR islam.krn gw lht beliau BNR BNR seperti imam Salahudin yg bnr2 menghargai Agama lain.😢😢,2025-08-04T03:15:25Z,0
@orangbandung-c4x,ngarerakeun siah ah,2025-08-04T00:18:20Z,0
@thomsonnapitupulu1121,"Iaaa betul guru gembul saya setuju, dan dukung, sebenarnya. punya agama adalah damai dan sejuk rasa bahagia......",2025-08-03T22:52:51Z,0
@julianasitumorang3691,Terkada. Kotma. Ustad. Itu. Banyak. Yg. Menyesesat. Kan,2025-08-03T17:47:39Z,0
@julianasitumorang3691,Jadi. Apa. Tifak. Ada. Yg. Menyelidikki. Harus. Kadus. Ini. Di. Bongkar. Siapa. Yg. Menggerakkan. Mereka. Ini,2025-08-03T17:40:52Z,0
@Susanto-n1p,Pelaku woi orng ultra dungu promex bikin malu aja bikin malu umat Islam aja kau,2025-08-03T12:59:27Z,0
@Susanto-n1p,Pelaku woi orng ultra dungu promex,2025-08-03T12:56:38Z,0
@Susanto-n1p,Pantes itu mah pengaguran gak punya duit pengen minta duit,2025-08-03T12:50:03Z,0
@JambrongJr-nr7yv,Gembul ;gumbal gambul,2025-08-03T11:59:05Z,0
@SulLia,Nda bleh bgtu wng ibadah ko nda boleh itu nmnya orang2 PD sirik bngt Allah TDK senang SM SE x justru kalian PD kewalat PK Nono bms,2025-08-03T10:28:51Z,0
@yosephfebrinugrahadi5665,Bubarin aja mui,2025-08-03T05:46:55Z,0
@Endiyasuperclean,sosok yg cocok jadi menteri agama ❤❤ bukan seperti menteri konoha sekarang,2025-08-03T05:39:04Z,0
@funnymeow1604,"Papua, Maluku, Nusa Tenggara, Sulawesi, Bali dan Kalimantan yg mayoritas non muslim, siap keluar dr Indonesia dan membentuk negara baru jika negara tidak adil dan hanya mementingkan satu kaum saja..

Biarkan hanya Sumatra dan Jawa saja yg menjadikan negara ini negara islam sperti yg mrk mau..

Negara bahkan lbh mementingkan Palestina yg jauh disana, mngirim beras 10rb ton, hanya krn mrk bragama islam, sdgkan saudara2 kita di Timur sana msh byk yg kelaparan..",2025-08-02T21:45:46Z,0
@Jefaldo,Islam itu bukan Agama Damai 🤮🤮Islam itu Agama IBLIS 🤮untuk bpk KM yg terhormat hormatilah sesamamu atau perasaan Agama lain ingin keadilan bukan uangnya bpk🤦‍♀️klau org islam tdk tau malu tdk mau megakui kesalahan mereka mereka terhadap sesama 🤮🤮🤮jijik dengarnya 🤮🤮,2025-08-02T21:13:17Z,0
@BahtiyarBaktinst,Dari mulai sekarang kita harus cerdas untuk memilah.jangan terlalu menuruti Hawa nafsu.. Agama ku islam. Dan agamaku tidak mengajarkan kekerasan..agamaku yg kutatahu adalah Rahmatan allamin. Rahmat Untuk alam semesta.Rahmat untuk semua mahluk.,2025-08-02T19:14:16Z,0
@Tamanindah252,"Kalau orng oslem yg ber iq rendang melihat judul dri video Pak Guru Gembul mereka akan senang, padahal itu adalah kritikan/sindiran bagi orng oslem intoleran itu sendiri.. terimakasih sudah menjadi islam yg moderat pak Gembul❤️",2025-08-02T11:10:19Z,0
@amardinsiahaan,Memang minoritas sdh tdk nyaman beribadah di indonesia klo begitu pemerintah wajib menyediakan lahan tempat beribadah,2025-08-02T11:02:47Z,0
@DedeTaslulu,Terimakasih Pa uztad,2025-08-02T06:33:54Z,0
@YehudariatmoYuda,Semoga 80 % rakyat Indonesia memiliki pemikiran seperti Guru Gembul agar cita- cita bangsa yang maju dan kuat bisa di wojodkan...😁...Amin..!!!,2025-08-02T06:31:03Z,0
@bigsacktanuki,Ternyata ada beckingan😊,2025-08-02T02:39:36Z,0
@bambangsuyono295,Benar sekali Guru Gembul pasti ada kelompok yang menggerakkan tempat kejadianpun dan terkesan ada sistimatikanya ....jangan-2 .....????? pelakunya,2025-08-02T01:59:37Z,0
@ambarwirawan7772,STOP INTOLERAN itulah yg seharusnya,2025-08-01T14:28:06Z,0
@godogpituin,Kalau umat Islam GK dipancing pasti aman2 aja😊,2025-08-01T08:17:42Z,0
@godogpituin,"Orang aneh yg mati2 an membela non muslim, mungkin karena pengen banget terkenal",2025-08-01T08:16:41Z,0
@BenyHeru-rp6qt,"Dan setuju dengan Gembul jangan mudah mengganti dengan uang pribadi, bila perlu yang mengganti yang merusak dan di proses secara hukum yang berlaku. hukum Islam mengajarkan untuk membela yang benar, bukan untuk membela yang seagama. saya mengajak semua lapisan masyarakat apapun agamanya, jangan pernah membela siapapu yang salah sekalipun itu seagama denganmu. tegakkan kebenaran dan keadilan, kalau memang ingin menegakkan kebenaran dan keadilan demi menjunjung tinggi nama baik yang Maha Kuasa. agama tidak boleh di nodai / di kotori dengan tindakan segelintir oknum yang tidak benar. mohon maaf apabila ada salah kata dan salah ketik.",2025-08-01T07:37:09Z,0
@BenyHeru-rp6qt,"Saya sebagai seorang muslim juga sholat dan puasa, akan tetapi tidak fanatik. sebab negara ini / bumi ini di ciptakan oleh yang Maha Kuasa bukan hanya untuk orang islam saja dan sebaliknya, melainkan untuk agama apa saja kafir sekalipun. yang penting tidak mengganggu sesama. karena yang tidak di perbolehkan itu saling mengganggu dan mengakibatkan kerugian di antaraereka. karena masalah agama atau kepercayaan itu adalah hak mereka masing masing. dan di kemudian hari / hari akhir mereka tanggung sendiri sendiri. setahu saya agama itu di adakan untuk mengatur manusia agar bertindak dan berucap baik.",2025-08-01T07:28:30Z,0
@MeityArman,"masalah nya negara tdk bisa memberi pekerjaan pd rakyat.nya,jd kepala megara dan DPR tdk berbuat apa2,bubarin dpr mkn gaji buta.",2025-08-01T03:11:46Z,0
@lamboksilalahi2831,mana pilih konstitusi UUD 1945 atau SKB 3 mentri ?,2025-07-31T01:55:50Z,0
@yohaneskoban5997,Pak guru Gembul lebih layak menjadi mentri agama,2025-07-30T11:58:11Z,0
@yohaneskoban5997,MUI yg melnghendaki umat Kristen berkembang termsk mentri agama mencium keningnya Paus F itu kebohongan,2025-07-30T11:56:07Z,0
@yohaneskoban5997,Mentri agama seperti bunglon,2025-07-30T11:48:16Z,0
@yohaneskoban5997,Bukan bernalar rendah tapi primitif,2025-07-30T11:46:18Z,0
@yohaneskoban5997,Masih banyak umat islam tdk memahami bgimana bertoleransi dan sepanjang yg kita ketahui Jabar di urutan pertama yg merusak tempat ibadah dr kelompok Kristen tapi negara tdk memberi perhatian pd masalah ini fanmenurunkan kredibilitas KDM,2025-07-30T11:45:14Z,0
@Paskovich-Tyronyst,"Di Padang kejadian lagi kyk di Sukabumi. Bahaslah Pak Guru, jgn diam aja. Ini pasti ada provokatornya.",2025-07-29T17:35:39Z,0
@Romchannel_,"selama ini ada seseorang atau elit yg mengemando mereka untk menyusakan pembangunan gereja pembubaran ibadah, itu semua ada otaknya",2025-07-29T13:37:56Z,0
@Romchannel_,Kecurigaan kita sama bungg,2025-07-29T13:34:47Z,0
@susantosh4590,"Lbh baik merdekakan cidahu jd Neg Islam Cidahu ( NIC ) spy tdk ganggu NKRI yg punya Pancasila.
Atau gantian minta tlo Israel utk kirim peluru kendali....
Kok mlh dikasi duit!..
Aparat penegak hukum?, jangan harap bisa bertindak!, mrk cukup tiap bln terima gaji....dan aman....😢",2025-07-29T11:55:44Z,0
@hilarionmayo4389,"Alhamdulillah
Menyampaikan Hakekat Allah adalah KASIH",2025-07-29T08:10:35Z,0
@iwanstj22a,"KRISTENPHOBIA. KETAKUTAN AKAN DGN SALIB, DAN PENGUASA. YAITU DGN PENGHANCURAN DALAM IBADAH.",2025-07-29T07:57:31Z,0
@HofniSanak-pk6ce,Tuhan memberkati kita semua,2025-07-28T17:56:50Z,0
@stefjandu5343,❤,2025-07-28T12:30:15Z,0
@LugiAnto-k7p,"Pendukung oten nih, bahas juga bakar gereja kristen dituduh Islam, rusak makam kristen d tuduh islam",2025-07-28T10:03:36Z,0
@yayatsofian6913,Akibat banyak bermunculan intoleransi di Indonesia banyak pula  bermunculan orang orang murtad di Indonesia keluar dari Islam,2025-07-27T14:48:12Z,0
@Srp-y8n,Ngopi ahhh😂😂,2025-07-27T05:12:09Z,0
@WayanMelow,"NEGARA INI MILIK AGAMA APA ????????
NEGARA TAK PERNAH HADIR KALO ADA PERKUSI TERHADAP UMAT MINORITAS, NEGARA HANYA RAJIN TERJUN KE MASYARAKAT HANYA  SAAT MENJELANG PEMILU, DENGAN BUJUK RAYU.",2025-07-26T22:29:43Z,0
@SintoBria,"Islam dari sononya memang rusak. saya dan seluruh keluarga murtad dari beberapa tahun lalu,,,knp krn islam ajarannya tidak benar,kalo bukan benci agama lain berarti menolak pembangunan Gereja.doktrin menjadi teroris...jadi aku dan keluarga pindah agama ke katolik hidup damai,aman......",2025-07-26T10:52:58Z,0
@YustinusYustinus-wy1ii,Sumbu pendek 🎉,2025-07-26T03:20:24Z,0
@LawrenceBujang-s2f,Inilah Seorang Islam sejati..inilah naratif Seorang pemimpin.....,2025-07-26T01:42:11Z,0
@kisaran2546,"Menurut saya, agama apapun yang menurut mereka benar belum tentu benar, yang salah belum tentu salah, alkitab setebal 1 JT halaman pun itu hanya orang2 yang menjabarkan nya saja, yang asli kita tidak tau.",2025-07-25T18:12:14Z,0
@luknanoezraa,Atau mungkin ini adalah bagian dari orang kristen sendiri yg mengompori orang muslim supaya menggrebeg,2025-07-25T15:48:00Z,1
@YooTgwa70gmailcom,Yg bertanggung jawab adalah mui.kalau mui tidak bertindak maka tidak bisa mengayomi umatnya.,2025-07-25T14:15:22Z,0
