author,text,published_at,like_count,clean_text,label_sentimen
@ayoksus,Mengenai KDM saya setuju pak gembul. Malah jangan kebiasaan dikasih uang. Kl memang harus ganti rugi ya kasih itu uang ganti rugi untuk perbaikan misalnya. Kl mau tolong org susah ya melalui subsidi. Jd yg kena tolong ga cm satu orang pas kejadian viral aja. Dibikin sistemnya.,2025-09-18T16:46:37Z,0,Mengenai KDM saya setuju pak gembul Malah jangan kebiasaan dikasih uang Kl memang harus ganti rugi ya kasih itu uang ganti rugi untuk perbaikan misalnya Kl mau tolong org susah ya melalui subsidi Jd yg kena tolong ga cm satu orang pas kejadian viral aja Dibikin sistemnya,negative
@nelsonsyahputra3020,"Trima kasih atas pencerahan dan penjelasan nya pak guru gembul.. saya agama khatolik
Memang benar, klo kami ibadah di hari raya besar (Natal dan tahun baru) itu polisi pada jaga gereja smua. Rasa nya gimna ya.....
Pak guru gembul tau gak,, keluarga dari kakek mama saya, keluarga dari kakek bapak saya bnyak yg berkorban utk memerdekakan indonesia yg tercinta ini.  Seperti Rocky Gerung katakan, dasar manusia DUNGU.... Dungu kuadrat.....",2025-09-18T15:10:40Z,0,Trima kasih atas pencerahan dan penjelasan nya pak guru gembul saya agama khatolik Memang benar klo kami ibadah di hari raya besar Natal dan tahun baru itu polisi pada jaga gereja smua Rasa nya gimna ya Pak guru gembul tau gak keluarga dari kakek mama saya keluarga dari kakek bapak saya bnyak yg berkorban utk memerdekakan indonesia yg tercinta ini Seperti Rocky Gerung katakan dasar manusia DUNGU Dungu kuadrat,negative
@ayumikusumaputri7205,Indahnya dmn cba??,2025-09-12T20:30:08Z,0,Indahnya dmn cba??,negative
@dickywang1485,"BIKIN MALU AJA‼️
Itu semua pasti orang2 Islam yg shalat wajibnya gak dilakukan ...... (artinya amal perbuatan se-hari2nya memang sudah penuh dosa, dosa besar meninggalkan shalat).",2025-09-07T17:13:58Z,0,BIKIN MALU AJA Itu semua pasti orang Islam yg shalat wajibnya gak dilakukan artinya amal perbuatan se harinya memang sudah penuh dosa dosa besar meninggalkan shalat,negative
@nmax.street,"Logika saya sebagai muslim, ada muslim marah marah ketika ada kegiatan agama lain, sebut misalnya kristen dan misal muslim tersebut bestatement bahwa akan ada kristenisasi atau ajakan masuk agama kristen, terus kenapa harus marah marah? Berarti kalau ada seorang muslim misal terkena pengaruh, mau masuk agama lain, ya berarti yang dipertanyakan keimanan dia sendiri, kok malah marah marah ke Agama lain..aneh si",2025-08-28T14:33:33Z,0,Logika saya sebagai muslim ada muslim marah marah ketika ada kegiatan agama lain sebut misalnya kristen dan misal muslim tersebut bestatement bahwa akan ada kristenisasi atau ajakan masuk agama kristen terus kenapa harus marah marah? Berarti kalau ada seorang muslim misal terkena pengaruh mau masuk agama lain ya berarti yang dipertanyakan keimanan dia sendiri kok malah marah marah ke Agama lain aneh si,negative
@habibiealexandria2433,Terlalu banyak yang mengutip Al - Kafiruun ayat 01 - 06 tapi menolak Al - An'am Ayat 108. Ironis sekali saat kita semua hanya mengutip kitab suci demi penglorifikasian Ego kita... 🙃,2025-08-26T18:16:16Z,0,Terlalu banyak yang mengutip Al Kafiruun ayat tapi menolak Al An am Ayat Ironis sekali saat kita semua hanya mengutip kitab suci demi penglorifikasian Ego kita,negative
@Shaf_001,"Guru gembul nih baiknya gak ngomong semua hal, krn gak ada orang yang ahli dalam segala bidang.. terutama lu gak perlu ngomongin soal agama, soal siroh, lu banyak ngeluarin statement agama Islam dan siroh yg ngawur. Semua omngan lu tuh bakal dipertanggung jawabkan kelak di akhert. Ideologi lu kayanya lebih ke Liberal..",2025-08-23T12:06:08Z,0,Guru gembul nih baiknya gak ngomong semua hal krn gak ada orang yang ahli dalam segala bidang terutama lu gak perlu ngomongin soal agama soal siroh lu banyak ngeluarin statement agama Islam dan siroh yg ngawur Semua omngan lu tuh bakal dipertanggung jawabkan kelak di akhert Ideologi lu kayanya lebih ke Liberal,negative
@Pakde_e,Katanya muslim tapi menormalisasikan pacaran 😂,2025-08-18T09:15:02Z,0,Katanya muslim tapi menormalisasikan pacaran,negative
@DanellKill,"oten lu playing victim terus,padahal lu ada agenda pemurtadan internasional di jabar dan sumbar,oten aneh aneh😂😂😂😂😂😂😂",2025-08-17T07:50:34Z,0,oten lu playing victim terus padahal lu ada agenda pemurtadan internasional di jabar dan sumbar oten aneh aneh,negative
@kainsongket716,Ini gembul sok tau 😂....,2025-08-16T17:24:05Z,0,Ini gembul sok tau,negative
@GalvinZayyan,UAS dibelakang cuma cengir2 ga ada dia nongol 😂,2025-08-16T11:14:37Z,0,UAS dibelakang cuma cengir ga ada dia nongol,negative
@nofrizalnofrizal188,pak guru gembul saya mau nanya apa dalam agama dianjurkan ntuk membuat tempat ibadah tuhan kan maha tau dimana pun kita beribadah tuhan kan tau ngk harus dibuat kan tempat nya  biar ngk ada lagi pelarangan ngk ada lagi penyerangan biar aman cukup ibadah dirumah saja tuhan kan maha tau,2025-08-13T07:57:35Z,0,pak guru gembul saya mau nanya apa dalam agama dianjurkan ntuk membuat tempat ibadah tuhan kan maha tau dimana pun kita beribadah tuhan kan tau ngk harus dibuat kan tempat nya biar ngk ada lagi pelarangan ngk ada lagi penyerangan biar aman cukup ibadah dirumah saja tuhan kan maha tau,negative
@andyanto5609,Walau harus mati saya tak akan pernah meninggal kan iman saya.,2025-08-11T13:24:07Z,0,Walau harus mati saya tak akan pernah meninggal kan iman saya,positive
@WayanMerta-y6b,"Pantesan mereka dibuliterus sama bang Edis, tp maaf sy TDK ikutcampur,",2025-08-11T07:49:59Z,0,Pantesan mereka dibuliterus sama bang Edis tp maaf sy TDK ikutcampur,negative
@WayanMerta-y6b,"Gurugembul baru org nyacerdas, sy salut SM bliau,",2025-08-11T07:45:42Z,0,Gurugembul baru org nyacerdas sy salut SM bliau,positive
@WayanMerta-y6b,Inilah ketimpangan hukum dinegaraini,2025-08-11T07:42:06Z,0,Inilah ketimpangan hukum dinegaraini,negative
@folio541,"Gak usah panjang berpolemik. Bagi saja NKRI ini jadi dua. Kami, umat non muslim juga tidak pernah merasakan manfaat dr kehadiran muslim, kecuali tukang resek, jago rusuh.",2025-08-11T07:08:53Z,0,Gak usah panjang berpolemik Bagi saja NKRI ini jadi dua Kami umat non muslim juga tidak pernah merasakan manfaat dr kehadiran muslim kecuali tukang resek jago rusuh,negative
@helenamangindaan6909,"Iya karakter Iblis, mrk  merasa sok paling berkuasa sewenang2 seenak.nya, serasa pemilik dunia !! - pd jago intimidasi, bebas menghujat2, dikit2 ancam mnghina, persekusi, makar, merasa legal banget, otak pd rusak n 
naluri manusiawi nya tumpul - 
Ats dasar apa mrk bisa bgtu dg leluasa ??  Bkn kah  smua itu & slm ini telah menginjak2 Hukum negara bangsa RI, dan
Tdk ada rasa takut hormat kpd Tuhan -",2025-08-10T20:10:26Z,0,Iya karakter Iblis mrk merasa sok paling berkuasa sewenang seenak nya serasa pemilik dunia !! pd jago intimidasi bebas menghujat dikit ancam mnghina persekusi makar merasa legal banget otak pd rusak n naluri manusiawi nya tumpul Ats dasar apa mrk bisa bgtu dg leluasa ?? Bkn kah smua itu slm ini telah menginjak Hukum negara bangsa RI dan Tdk ada rasa takut hormat kpd Tuhan,negative
@okijem,"Telat dikit.
Ingin berbagi pendapat saja. Harap dibaca dengan pikiran terbuka. Kalau ada yang tersinggung, mungkin justru di situlah poinnya.

Disclaimer: Saya tidak menganggap diri saya paham sepenuhnya akan ajaran agama. Bahkan saya masih berusaha keras untuk memahami dan mengamalkan ajaran kebaikan agama yang saya anut, meski sering lalai. Perlu diingat, ini hanya argumen saya sebagai pelaku dan juga pengamat. Kalau ada yang merasa “termasak” atau “strike”, kemungkinan besar orang tersebut belum benar-benar memahami apa yang saya sampaikan.

Indonesia sering disebut negara paling religius karena sila pertama mengharuskan kita percaya kepada Tuhan. Tapi jujur aja, menurut saya, banyak (entah 50% atau 60% lebih) pemeluk agama di sini cuma paham kulitnya saja.

 *Kebanyakan hanya takut dosa, bukan benar-benar takut atau menghormati Tuhan serta memahami ajarannya.*

Banyak ritual atau ibadah, entah puasa sampai perjamuan kudus, dan lainnya  yang dilakukan sekadar FORMALITAS. Coba jujur: saat berpuasa, bener-bener ngerti maknanya atau cuma ikut tradisi? Saat perjamuan kudus, paham betul tujuannya atau cuma karena “memang rutinitas di gereja”?

Nah, ada hal yang bikin saya penasaran dan mungkin bisa kita renungkan bersama:
1. Kenapa ada orang yang membela agamanya sampai rela merendahkan atau melarang ibadah orang lain? Apakah benar agamanya mengajarkan itu, atau hanya emosi pribadi?
2. Kenapa sebagian orang bisa berani melakukan hal-hal yang jelas dilarang seperti zina, mencuri, mabuk, bahkan korupsi, tapi untuk makan makanan tertentu seperti babi malah super takut? Apakah ada tingkatan “dosa” yang dianggap bisa diampuni dan yang tidak?",2025-08-10T12:22:42Z,0,Telat dikit Ingin berbagi pendapat saja Harap dibaca dengan pikiran terbuka Kalau ada yang tersinggung mungkin justru di situlah poinnya Disclaimer Saya tidak menganggap diri saya paham sepenuhnya akan ajaran agama Bahkan saya masih berusaha keras untuk memahami dan mengamalkan ajaran kebaikan agama yang saya anut meski sering lalai Perlu diingat ini hanya argumen saya sebagai pelaku dan juga pengamat Kalau ada yang merasa termasak atau strike kemungkinan besar orang tersebut belum benar benar memahami apa yang saya sampaikan Indonesia sering disebut negara paling religius karena sila pertama mengharuskan kita percaya kepada Tuhan Tapi jujur aja menurut saya banyak entah atau lebih pemeluk agama di sini cuma paham kulitnya saja Kebanyakan hanya takut dosa bukan benar benar takut atau menghormati Tuhan serta memahami ajarannya Banyak ritual atau ibadah entah puasa sampai perjamuan kudus dan lainnya yang dilakukan sekadar FORMALITAS Coba jujur saat berpuasa bener bener ngerti maknanya atau cuma ikut tradisi? Saat perjamuan kudus paham betul tujuannya atau cuma karena memang rutinitas di gereja ? Nah ada hal yang bikin saya penasaran dan mungkin bisa kita renungkan bersama Kenapa ada orang yang membela agamanya sampai rela merendahkan atau melarang ibadah orang lain? Apakah benar agamanya mengajarkan itu atau hanya emosi pribadi? Kenapa sebagian orang bisa berani melakukan hal hal yang jelas dilarang seperti zina mencuri mabuk bahkan korupsi tapi untuk makan makanan tertentu seperti babi malah super takut? Apakah ada tingkatan dosa yang dianggap bisa diampuni dan yang tidak?,negative
@misterasam,HMMMMMMMMMMMMMMMMMM tidak terpikirkan seperti ini #ploittwist,2025-08-10T07:28:23Z,0,HMM tidak terpikirkan seperti ini ploittwist,negative
@HendraSaputra_9899,Islam jg asal nya dr arab ua kearab aja bos........yg msh ngomong ga enak artinya manusia munafik dan tinggal di hutan dan ga ngerti klo hidup tu berbeda bkn 1......termsk saudara ja beda ..... jg ga prnh ada perbedaan keyakinan dlm.keluarga jd bisa ngomong .......artinya klo kau indonesia dan manusia terima perbedaan......UUD 45 dan NKRI,2025-08-10T03:54:58Z,0,Islam jg asal nya dr arab ua kearab aja bos yg msh ngomong ga enak artinya manusia munafik dan tinggal di hutan dan ga ngerti klo hidup tu berbeda bkn termsk saudara ja beda jg ga prnh ada perbedaan keyakinan dlm keluarga jd bisa ngomong artinya klo kau indonesia dan manusia terima perbedaan UUD dan NKRI,negative
@siwajava3732,Iya harusnya seperti runtuhnya gedung WTC😄😄😄😄,2025-08-09T16:56:12Z,0,Iya harusnya seperti runtuhnya gedung WTC,negative
@sabda.saratustra,Agama tanpa SDM dan EDM jadinya Blind Faith !!!,2025-08-09T13:52:53Z,0,Agama tanpa SDM dan EDM jadinya Blind Faith !!,negative
@MikeSteven-wq4ub,AGAMA TERORIS BERTOPENG GUNDOROWO😂,2025-08-09T13:06:30Z,1,AGAMA TERORIS BERTOPENG GUNDOROWO,negative
@ireneussubir5644,Sudah saatnya Indonesia dibagi 2 wilayah,2025-08-09T07:56:13Z,0,Sudah saatnya Indonesia dibagi wilayah,negative
@lying.in.the.gutter,Scenario yg menarik,2025-08-09T07:13:51Z,0,Scenario yg menarik,neutral
@Marizza-l7g,Sembunyi dimanapun akan tertangkap juga pd akhirnya si biang kerok ... entah itu kapan ? Tuhan tak tinggal diam ....,2025-08-09T04:00:52Z,0,Sembunyi dimanapun akan tertangkap juga pd akhirnya si biang kerok entah itu kapan ? Tuhan tak tinggal diam,negative
@XiangLangMei1993,Sila pancasila gak ada harganya,2025-08-09T03:30:40Z,0,Sila pancasila gak ada harganya,negative
@akiranaura6146,Kenapa sih indonesia gak bikin agama sendiri untuk mempertahankan negara sendiri gitu. Daripada harus ngikutin timteng 😢,2025-08-09T01:48:06Z,0,Kenapa sih indonesia gak bikin agama sendiri untuk mempertahankan negara sendiri gitu Daripada harus ngikutin timteng,negative
@elisabethirawati9745,"Coba ada 10 kayak pak guru gembul .......intoleransi di Indonesia.....terkikis...
Lanjutkan pak guru...kalian tdk perlu malu mengkritik  diri sendiri....menampar diri sendiri dalam mensikapi saudara2 yg berbeda keyakinan👍👍",2025-08-09T00:42:56Z,0,Coba ada kayak pak guru gembul intoleransi di Indonesia terkikis Lanjutkan pak guru kalian tdk perlu malu mengkritik diri sendiri menampar diri sendiri dalam mensikapi saudara yg berbeda keyakinan,negative
@murniatysimbolon,"Jk mrk melakukan spt yg GurGem sarankan, membakar mesjid, apa yakin Kristen yg disalahkan ? Bodoh tuh jgn dipelihara donk ?!",2025-08-08T07:19:13Z,0,Jk mrk melakukan spt yg GurGem sarankan membakar mesjid apa yakin Kristen yg disalahkan ? Bodoh tuh jgn dipelihara donk ?!,negative
@diartri8897,"Bubarkan aja mui, udah terpapar paham radikal",2025-08-08T04:57:55Z,0,Bubarkan aja mui udah terpapar paham radikal,negative
@diartri8897,"Agama islam adalah agama yg tidak bisa melihat agama lain, mereka ingin beragama sendiri, ingin memborong surga sendiri, karna mereka yg paling punya surga😂😂😂",2025-08-08T04:46:41Z,0,Agama islam adalah agama yg tidak bisa melihat agama lain mereka ingin beragama sendiri ingin memborong surga sendiri karna mereka yg paling punya surga,negative
@zulkyotto,"tolong pemerintah indo, bidang kementerian informasi. me life kan pengajaran seperti ini di sekolah sekolah. mulai dari tingkat SMP sampai perguruan tinggi. jadi pelajaran utama.
tujuannya biar pikiran generasi sekarang tidak terperangkap lagi atau keluar dari pemikiran model model lama. rantai pemikiran yang lama, sudah waktunya diputus dengan rantai pemikiran yg baru. seperti rantai motor  jika diganti yg baru, rodanya jadi berputar stabil, 

pengetahuan harus > dari ilmu 

ber ilmu tapi tidak berpengetahuan sama saja = 0

I = P =   100
P>I  =  +100
P<I =   -100",2025-08-08T01:43:20Z,0,tolong pemerintah indo bidang kementerian informasi me life kan pengajaran seperti ini di sekolah sekolah mulai dari tingkat SMP sampai perguruan tinggi jadi pelajaran utama tujuannya biar pikiran generasi sekarang tidak terperangkap lagi atau keluar dari pemikiran model model lama rantai pemikiran yang lama sudah waktunya diputus dengan rantai pemikiran yg baru seperti rantai motor jika diganti yg baru rodanya jadi berputar stabil pengetahuan harus dari ilmu ber ilmu tapi tidak berpengetahuan sama saja I P P I P I,negative
@OmpongbanBan-k7p,Pak.gembul.sy.umat.krsten.semoga.pak.gembul.diberi.kesehan.amin,2025-08-07T12:32:18Z,0,Pak gembul sy umat krsten semoga pak gembul diberi kesehan amin,positive
@SadiKurniawan-k9b,"Selesahi perang1945 ada agama lima , jadi indonesia milik  agama 5  islam katolik kristen budah dan hindu ,  tidak boleh menjelekkan agama orang lain  , supaya terbina kerukunan berbangsa  dan bernegara .",2025-08-07T02:36:09Z,0,Selesahi perang ada agama lima jadi indonesia milik agama islam katolik kristen budah dan hindu tidak boleh menjelekkan agama orang lain supaya terbina kerukunan berbangsa dan bernegara,negative
@theresiameilani2669,Betul 2,2025-08-07T00:41:19Z,0,Betul,negative
@kishorkumar-xm4du,"Buat apa punya ASAS NEGARA PANCASILA, DENGAN ASAS """"""PERTAMA""""👉 KETUHANAN YANG MAHA ESA.
Kalau pemerintah dalam Hal ini Menteri Agama, POLRI, Menteri Menkumhan tidak mampu melaksanakan Amanah UUD nya dan tidak memproses Hukum sesuai KUHP bagi Tindakan2 KRIMINAL /KRIMINAL TERENCANA orang2/Kelompok INTOLERAN terhadap AGAMA/KEPERCAYAAN di Indonesia yang terjadi tiada habis nya KHUSUS NYA TERHADAP UMAT KRISTIAN I INDONESIA.
APA TIDAK PUNYA RASA MALU /HARGA DIRI LAGI KAH SEMUA KALANGAN INI ?
JAMAN DIGITAL,  TAPI KELAKUAN NYA BIADAB, dan dilakukan Oleh orang2 yang KATANYA juga punya Agama,Allah dan Kitab Suci.
Negara Hadir Ga ? Hukum tegas Ga ?Bukankah Negara Republik Indonesia adalah NEGARA HUKUM ?
KOK NEGARA DIAM KETIKA SILA PERTAMA.....DI INJAK INJAK oknum2 biadab tersebut?",2025-08-06T11:16:20Z,0,Buat apa punya ASAS NEGARA PANCASILA DENGAN ASAS PERTAMA KETUHANAN YANG MAHA ESA Kalau pemerintah dalam Hal ini Menteri Agama POLRI Menteri Menkumhan tidak mampu melaksanakan Amanah UUD nya dan tidak memproses Hukum sesuai KUHP bagi Tindakan KRIMINAL KRIMINAL TERENCANA orang Kelompok INTOLERAN terhadap AGAMA KEPERCAYAAN di Indonesia yang terjadi tiada habis nya KHUSUS NYA TERHADAP UMAT KRISTIAN I INDONESIA APA TIDAK PUNYA RASA MALU HARGA DIRI LAGI KAH SEMUA KALANGAN INI ? JAMAN DIGITAL TAPI KELAKUAN NYA BIADAB dan dilakukan Oleh orang yang KATANYA juga punya Agama Allah dan Kitab Suci Negara Hadir Ga ? Hukum tegas Ga ?Bukankah Negara Republik Indonesia adalah NEGARA HUKUM ? KOK NEGARA DIAM KETIKA SILA PERTAMA DI INJAK INJAK oknum biadab tersebut?,negative
@AgusRustiani-uh2wg,"sedikit cerita pak guru, Saya dulu sekolah dri SMP sampe SMK oknum ustadznya sama, alergi banget sama kristen, setiap kultum hari sabtu selalu nyindir nyindir guru kristen kadang juga nebar kebencian, pdhal guru itu  ya ga nyebarin agamanya, biasa aja ngajar  sesuai kompetensinya ga pernah sekata pun bahas agama kristen. pdhal ya seharusnya sekolah negeri yg menjunjung toleransi malah melihara ustadz radikal, sekolah saya di Cianjur",2025-08-06T10:38:14Z,0,sedikit cerita pak guru Saya dulu sekolah dri SMP sampe SMK oknum ustadznya sama alergi banget sama kristen setiap kultum hari sabtu selalu nyindir nyindir guru kristen kadang juga nebar kebencian pdhal guru itu ya ga nyebarin agamanya biasa aja ngajar sesuai kompetensinya ga pernah sekata pun bahas agama kristen pdhal ya seharusnya sekolah negeri yg menjunjung toleransi malah melihara ustadz radikal sekolah saya di Cianjur,negative
@ddzq-s1h,Muslim yang pikiran nya sehat pasti akan merasa malu oleh kelakuan mereka.🤦,2025-08-06T09:01:24Z,0,Muslim yang pikiran nya sehat pasti akan merasa malu oleh kelakuan mereka,negative
@GidionGiyanto,Makasih bang gembul..memang negara ini ya seperti ini...,2025-08-06T05:37:14Z,0,Makasih bang gembul memang negara ini ya seperti ini,positive
@Anisa_Adinda,provokator si ternak mulyono versi guru.,2025-08-06T01:42:25Z,0,provokator si ternak mulyono versi guru,negative
@SintoBria,"IZIN PEMBANGUNAN GEREJA DI TOLAK,PENGRUSAKAN RUMAH IBADAH,ORANG IBADAH DI PERSEKUSI,DI GERUDUK,JADI ISLAM ADALAH HAMA MASYARAKAT PELAKU INTOLERAN,,,,SAYA YAKIN SEMUA KEKACAUAN INI DI BEKINGI OLEH HTI DAN FPI SAN TUJUAN MEREKA INGIN MENGUBAH NEGARA INDONESIA MENJADI NEGARA SYARI'AH ISLAM.TERMASUK KE INGINAN MEREKA UNTUK JADIKAN ANIS BASWEDAN PRESIDEN TAPI LANGKAH ITU GAGAL MAKA PIKIRAN BUSUK MEREKA MULAI UBAH SASARAN KE PAK JOKOWI....",2025-08-06T00:58:37Z,0,IZIN PEMBANGUNAN GEREJA DI TOLAK PENGRUSAKAN RUMAH IBADAH ORANG IBADAH DI PERSEKUSI DI GERUDUK JADI ISLAM ADALAH HAMA MASYARAKAT PELAKU INTOLERAN SAYA YAKIN SEMUA KEKACAUAN INI DI BEKINGI OLEH HTI DAN FPI SAN TUJUAN MEREKA INGIN MENGUBAH NEGARA INDONESIA MENJADI NEGARA SYARI AH ISLAM TERMASUK KE INGINAN MEREKA UNTUK JADIKAN ANIS BASWEDAN PRESIDEN TAPI LANGKAH ITU GAGAL MAKA PIKIRAN BUSUK MEREKA MULAI UBAH SASARAN KE PAK JOKOWI,negative
@victorianusindriyabargawa6638,Prilaku ORMAS INTOLERAN selama ini karena DOKTRIN dari politikus² busuk yg ingin membuat NKRI memberlakukan SYARIAT ISLAM.,2025-08-05T17:10:49Z,0,Prilaku ORMAS INTOLERAN selama ini karena DOKTRIN dari politikus busuk yg ingin membuat NKRI memberlakukan SYARIAT ISLAM,negative
@abbeybutar790,Guru Gembul selalu menjelaskan sesuai fakta.......,2025-08-05T11:01:09Z,0,Guru Gembul selalu menjelaskan sesuai fakta,positive
@nonosumedi7015,"Mari kita buktikan dlm beragama sbgmana di amanahkan adanya Toleransi & Kerukunan Beragama, kita harus bisa menjaga keluhuran ajaran  dlm bermasyarakat, menjaga nama baik agama masing² dng saling menghargai adanya perbedaan & MARI KITA MENCARI KEBAIKAN dlm Agama, semua pasti akan legowo (jangan cari² masalah  Agama orang lain) kita semua pasti bisa Hidup Damai & Tenang Beribadah di Negara Sendiri (NKRI) Amiiin. 👍❤️🇲🇨",2025-08-05T10:42:46Z,1,Mari kita buktikan dlm beragama sbgmana di amanahkan adanya Toleransi Kerukunan Beragama kita harus bisa menjaga keluhuran ajaran dlm bermasyarakat menjaga nama baik agama masing dng saling menghargai adanya perbedaan MARI KITA MENCARI KEBAIKAN dlm Agama semua pasti akan legowo jangan cari masalah Agama orang lain kita semua pasti bisa Hidup Damai Tenang Beribadah di Negara Sendiri NKRI Amiin,positive
@Widyatno,Biadap pelaku hrs dipidana berat.,2025-08-05T09:04:24Z,0,Biadap pelaku hrs dipidana berat,negative
@TyoHya,Sulit ditemui org muslim seperti abang /abah ini selain alm.Gus Dur dan Abah Alwi Shihab ayahnya Mbak Najwa❤,2025-08-05T08:40:33Z,0,Sulit ditemui org muslim seperti abang abah ini selain alm Gus Dur dan Abah Alwi Shihab ayahnya Mbak Najwa,negative
@TyoHya,Mantap komentarnya abang Ustad. Bagi sy  peibadi baru dgr dan baru alami ada seorg Muslim yg dgn rendah hati n bijaksana seperti abang imo utk komentar n krotik sesama kaum muslim yg beraalah dan jg lembaga /otoritas muslim yg tampak apatis dgn masalah intoleransi oknum muslim trhdp umat agama lain❤,2025-08-05T08:37:55Z,0,Mantap komentarnya abang Ustad Bagi sy peibadi baru dgr dan baru alami ada seorg Muslim yg dgn rendah hati n bijaksana seperti abang imo utk komentar n krotik sesama kaum muslim yg beraalah dan jg lembaga otoritas muslim yg tampak apatis dgn masalah intoleransi oknum muslim trhdp umat agama lain,negative
